image_path,class,internal_class,selection,reviewed
dataset\Apple___Cedar_apple_rust\image (158).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (289).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (615).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (1493).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (156).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (483).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (244).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (43).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (143).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (124).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (80).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (381).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (286).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (166).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (465).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (48).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (198).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (266).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (1161).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (325).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (264).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (474).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (132).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (254).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (86).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (198).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (70).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (149).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___healthy\image (1580).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (290).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (369).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (766).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (443).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (69).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (157).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (436).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (274).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (1165).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (19).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (88).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (560).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (95).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (590).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (272).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (14).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (144).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (61).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (115).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (236).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (542).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (426).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (196).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (442).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (237).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (225).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (69).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (137).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (118).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Cedar_apple_rust\image (17).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (503).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (176).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (128).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (202).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (528).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (398).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (121).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Apple_scab\image (580).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (263).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (278).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (422).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (530).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Apple_scab\image (151).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (79).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (342).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (112).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (42).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (551).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (335).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (203).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (265).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (196).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___healthy\image (307).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (379).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (623).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (364).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (159).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (76).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (265).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (121).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (234).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (988).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (571).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (264).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (44).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (480).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (568).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (241).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (167).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (5).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (60).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (4).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (186).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (173).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (293).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (238).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (491).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (527).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (392).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (260).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (513).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (510).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (124).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (253).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (57).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (571).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (336).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (886).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (185).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___healthy\image (1633).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (315).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (59).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (607).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (279).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (278).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (85).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (1402).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (607).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (95).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Apple_scab\image (239).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (350).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (340).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (172).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (208).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (378).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (412).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (247).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (428).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (247).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (38).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Apple_scab\image (299).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (429).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (489).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (34).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (237).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Apple_scab\image (44).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___healthy\image (1539).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (214).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (1327).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (82).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (138).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (523).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (106).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (393).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (120).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (444).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (37).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (275).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (151).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (385).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (210).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (197).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (414).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (358).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (19).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (309).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (47).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (180).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (411).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (118).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (662).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (555).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (327).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (251).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (630).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (161).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (166).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___healthy\image (522).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (381).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (445).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (163).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (545).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (488).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (271).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (216).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (570).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (560).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (245).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (107).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (66).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (589).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (614).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (134).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (1217).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (516).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (221).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (263).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (434).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (418).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (457).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (307).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (108).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (333).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (538).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (135).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (451).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___healthy\image (920).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (306).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (6).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (160).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (166).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (41).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (1306).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (605).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (90).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (49).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (69).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (192).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Apple_scab\image (205).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (226).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (231).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (1387).JPG,Apple___healthy,healthy,low,1
